SVD Recommendation Evaluation - Precision: 0.0374, Recall: 0.0287, F-Measure: 0.0324, NDCG: 0.0412
Top-10 Recommendations (SVD):
User 1: 588, 1784, 32587, 1259, 377, 380, 1907, 3578, 750, 1129
User 2: 2959, 72998, 2571, 49530, 7153, 54286, 68954, 48780, 89745, 47610
User 3: 81132, 1215, 79132, 26701, 1907, 1374, 81847, 32031, 1200, 88125
User 4: 223, 1172, 592, 2987, 1230, 923, 2318, 1028, 551, 778
User 5: 32, 356, 377, 480, 161, 329, 454, 224, 165, 292
User 6: 420, 48, 442, 173, 172, 39, 227, 260, 235, 647
User 7: 6377, 1527, 1721, 40815, 5418, 2716, 1206, 2012, 2791, 296
User 8: 161, 165, 349, 316, 344, 329, 480, 300, 288, 1
User 9: 2571, 260, 4306, 1210, 5349, 1291, 318, 1196, 2115, 81132
User 10: 6539, 46578, 78499, 45720, 50872, 3793, 63082, 5418, 69122, 79132
User 11: 161, 1610, 260, 454, 296, 316, 2028, 329, 1036, 1
User 12: 2671, 2396, 364, 81132, 368, 48, 587, 17, 2080, 595
User 13: 260, 1196, 4306, 2617, 593, 2959, 4993, 81132, 2858, 79132
User 14: 161, 380, 253, 349, 364, 292, 1, 454, 34, 457
User 15: 593, 110, 7153, 3793, 1580, 76093, 2324, 4963, 1704, 1221
User 16: 1221, 903, 4973, 908, 1080, 924, 1234, 2997, 778, 2028
User 17: 608, 7153, 1208, 924, 1200, 4878, 778, 908, 4011, 16
User 18: 1249, 953, 63082, 33493, 1376, 7445, 1302, 1197, 60069, 4232
User 19: 1997, 2161, 4878, 750, 594, 1883, 3081, 1587, 1275, 60
User 20: 2329, 5218, 1, 5444, 616, 367, 500, 5064, 2174, 5299
User 21: 60069, 6377, 2028, 56174, 2353, 64957, 91542, 45517, 2987, 377
User 22: 6016, 4973, 5989, 4720, 48774, 58559, 8874, 5445, 8665, 49530
User 23: 1201, 111, 903, 4878, 1204, 1148, 1219, 1921, 1090, 25
User 24: 110, 1291, 2959, 2324, 1036, 293, 49530, 150, 8665, 858
User 25: 2959, 1196, 89745, 318, 72998, 48780, 76093, 1210, 69844, 33794
User 26: 161, 110, 292, 231, 377, 364, 316, 253, 318, 454
User 27: 1028, 588, 1291, 1374, 596, 733, 919, 912, 2078, 2005
User 28: 8360, 914, 1394, 2723, 1967, 2167, 1252, 1278, 8972, 8784
User 29: 541, 1221, 1252, 912, 608, 111, 1233, 2019, 908, 1276
User 30: 2028, 2959, 3578, 1270, 89745, 1214, 54286, 593, 72998, 76093
User 31: 260, 32, 1291, 95, 380, 661, 480, 104, 112, 608
User 32: 17, 112, 14, 300, 494, 5, 11, 647, 235, 266
User 33: 357, 224, 595, 235, 246, 592, 364, 2028, 440, 62
User 34: 380, 4993, 3751, 6934, 5218, 6365, 4886, 6377, 4027, 4025
User 35: 296, 380, 292, 339, 161, 364, 318, 440, 329, 151
User 36: 81132, 356, 527, 1250, 1784, 903, 608, 1304, 1204, 2987
User 37: 110, 161, 10, 480, 185, 377, 50, 253, 339, 434
User 38: 349, 34, 474, 316, 527, 165, 265, 236, 539, 272
User 39: 595, 1240, 919, 480, 293, 2115, 6, 2640, 912, 2355
User 40: 50, 36, 253, 161, 282, 225, 11, 22, 32, 185
User 41: 4995, 6942, 1193, 63082, 58559, 44191, 32587, 8533, 40819, 1617
User 42: 587, 48780, 2396, 44191, 266, 1584, 70, 315, 4226, 1092
User 43: 2, 368, 160, 315, 333, 186, 19, 252, 196, 22
User 44: 32, 62, 628, 653, 25, 608, 5, 7, 708, 788
User 45: 1466, 16, 2054, 10, 2278, 2, 1380, 2321, 2572, 3174
User 46: 150, 296, 47, 329, 34, 434, 454, 317, 356, 377
User 47: 1704, 4306, 527, 79132, 296, 4995, 110, 2858, 6377, 1784
User 48: 4306, 648, 2716, 1270, 1240, 1374, 6539, 2987, 1200, 736
User 49: 3147, 4306, 480, 2959, 60069, 4886, 150, 377, 68954, 1265
User 50: 1219, 1193, 1200, 1213, 89745, 1222, 3751, 4016, 364, 10
User 51: 1073, 588, 1127, 2716, 1208, 150, 1203, 2278, 587, 2427
User 52: 3578, 33794, 110, 59315, 44199, 67255, 68237, 46578, 79132, 68157
User 53: 356, 81132, 26701, 2571, 2987, 2617, 1223, 88125, 79132, 1032
User 54: 380, 349, 364, 153, 292, 165, 367, 344, 34, 300
User 55: 81132, 1625, 356, 1907, 4306, 60684, 2987, 79132, 26701, 4886
User 56: 150, 480, 434, 339, 377, 454, 266, 2, 457, 442
